title,price,original_price,rating,reviews,stock,asin,link
"Pulsar Gaming Gears X2 Crazylight Wireless Gaming Mouse, Ultra Lightweight 1.38 oz (39g), Optical Switch, 32000 DPI, 750 IPS, XS-1 Sensor, 8k Compatible (Medium, Bruce Lee 85th Edition)",PEN 487.25,PEN 487.25,4.2,N/A,In Stock,B0G27KZ94X,https://www.amazon.com/dp/B0G27KZ94X
"TMKB Falcon M1SE Ultralight Honeycomb Gaming Mouse, High-Precision 12800DPI Optical Sensor, 6 Programmable Buttons, Customizable RGB, Drag-Free Paracord, Ergonomic, Wired - Matte White",PEN 69.60,PEN 69.60,4.5,N/A,In Stock,B0BGKBT1JG,https://www.amazon.com/dp/B0BGKBT1JG
"Logitech G PRO 2 Lightspeed Wireless Gaming Mouse, Right- or Left-Handed Mouse with up to 4 Customizable and Switchable Magnetic Side Buttons, 44K DPI Sensor, USB-C Charging, for PC/Mac - White",PEN 413.13,PEN 522.21,4.6,N/A,In Stock,B0CJ4QM7R7,https://www.amazon.com/dp/B0CJ4QM7R7
"Logitech G203 Wired Gaming Mouse, 8,000 DPI, Rainbow Optical Effect LIGHTSYNC RGB, 6 Programmable Buttons, On-Board Memory, Screen Mapping, PC/Mac Computer and Laptop Compatible - Black",PEN 86.41,PEN 121.82,4.6,N/A,In Stock,B07YN82X3B,https://www.amazon.com/dp/B07YN82X3B
"GravaStar Mercury M2 Wireless Gaming Mouse with 26,000 DPI, PAW3395DM Sensor -79g Lightweight Hollowed-Out Design -5 Programmable Buttons -5 Dynamic Lightsync RGB",PEN 278.35,PEN 313.17,4.5,N/A,In Stock,B0CSP61VR4,https://www.amazon.com/dp/B0CSP61VR4
"acer Wired Gaming Mouse, 12,800 DPI RGB Ergonomic Computer Mouse with Optical Sensor, 8 Programmable Buttons, 12 Backlit Modes, Software for DIY Keybinds, Rapid Fire, USB Gaming Mice for Laptop, PC",PEN 69.60,PEN 121.82,4.5,N/A,In Stock,B0FCMHJBMW,https://www.amazon.com/dp/B0FCMHJBMW
"GravaStar Mercury M1 Pro Wireless Gaming Mouse – 26,000 DPI PAW3395DM Sensor • Lightweight Magnesium Alloy • Tri-Mode (Wired/2.4GHz/Bluetooth) • 4K Polling Rate • Up to 200-Hour Battery",PEN 347.99,PEN 347.99,4.5,N/A,In Stock,B0CTMTKCRY,https://www.amazon.com/dp/B0CTMTKCRY
title,price,original_price,rating,reviews,stock,asin,link
"ASUS ROG Spatha X Wireless Gaming Mouse – MMO/MOBA Design, 12 Programmable Buttons, Right-Handed, 168g, Dual-Mode (Wired/2.4GHz), 19K DPI, up to 67Hr Battery, Magnetic Charging Dock, PC/Mac Support",PEN 442.13,PEN 591.84,4.3,(2K),In Stock,B09726KT4R,https://www.amazon.com/dp/B09726KT4R
"BENGOO Gaming Mouse Wired, Ergonomic Gamer Laptop PC Optical Computer Mice with RGB Backlit, 4 Adjustable DPI Up to 3600, 6 Programmable Buttons for Windows 7/8/10/XP Vista Linux -Black",PEN 38.26,PEN 41.74,4.6,(14.1K),In Stock,B00Z9V0NKC,https://www.amazon.com/dp/B00Z9V0NKC
"acer Wired Gaming Mouse, 12,800 DPI RGB Ergonomic Computer Mouse with Optical Sensor, 8 Programmable Buttons, 12 Backlit Modes, Software for DIY Keybinds, Rapid Fire, USB Gaming Mice for Laptop, PC",PEN 69.60,PEN 121.82,4.5,(766),In Stock,B0FCMHJBMW,https://www.amazon.com/dp/B0FCMHJBMW
